DIRECTOR,COMPANY, PERCENTAGE OF SHARES
KAMARUDIN MERANUN,AIRASIA BHD,7.14
KAMARUDIN ZAKARIA,PETRONAS CHEMICALS GROUP BHD,
KAMARUL ZAMAN MOHD ALI,GAMUDA BHD,0.01
KAMARUZZAMAN ABU KASSIM,KPJ HEALTHCARE BHD,
KAMARUZZAMAN ABU KASSIM,KULIM M BHD,
KAMRI RAMLEE,SARAWAK OIL PALMS BHD,
KANDAN KANAGAINTHIRAM,UEM SUNRISE BHD,
KAROWNAKARAN RAMASAMY,BURSA MALAYSIA,
KAROWNAKARAN RAMASAMY,IOI CORPORATION BHD,
KAZUHIRO KAKURA,AEON COMPANY M BHD,
KELLEE KAM CHEE KHIONG,RHB CAPITAL BHD,
KELVIN TAN AIK PEN,TSH RESOURCES BHD,11.92
KENICHI SUENAMI,AEON COMPANY M BHD,
KENJI HIRAMATSU,AEON COMPANY M BHD,
KENNETH SHEN,AXIATA GROUP BHD,
KEVIN HOW KOW,CAHYA MATA SARAWAK BHD,
KHALID AHMAD SULAIMAN,HONG LEONG CAPITAL BHD,
KHALID AHMAD SULAIMAN,HONG LEONG FINANCIAL GROUP BHD,
KHALID SUFAT,UMW HOLDINGS BHD,
KHOO ENG MIN,SHANGRI LA HOTELS M BHD,
KHOR CHAP JEN,SP SETIA BHD GROUP,
KHOR SWEE WAH,TAN CHONG MOTOR HOLDINGS BHD,1.46
KIM YOUNG SO,WESTPORTS M SDN BHD,0.01
KIYOSHI FUSHITANI,AIR ASIA X BHD,
KIYOTAKA TANAKA,AIR ASIA X BHD,
KOH EK CHONG,DAYANG ENTERPRISE HOLDINGS BHD,
KOH HONG SUN,GENTING M BHD,0.0002
KOJI ONISHI,ORIENTAL HOLDINGS BHD,
KOK CHIN LEONG,KPJ HEALTHCARE BHD,
KONG CHONG SOON,UOA DEVELOPMENT BHD,
KONG PAK LIM,UOA DEVELOPMENT BHD,
KOO SHAUNG YEN,MSM MALAYSIA HOLDINGS BHD,
KRISHNAN C K MENON,KLCCP HOLDINGS BHD,
KRISHNAN RAVI KUMAR,MAXIS BHD,
KRISHNAN TAN BOON SENG,IJM CORPORATION BHD,0.2
KRISHNAN TAN BOON SENG,IJM PLANTATIONS BHD,
KRISHNAN TAN BOON SENG,MALAYSIAN AIRLINE SYSTEM BHD,0.136
KRISHNAN TAN BOON SENG,IJM LAND BHD,
KUAN KAM HON,HARTALEGA HOLDINGS BHD,
KUAN MUN KENG,HARTALEGA HOLDINGS BHD,
KUAN MUN LEONG,HARTALEGA HOLDINGS BHD,
KUMARAN NOWURAM,NESTLE M BHD,
KUNG BENG HONG,ALLIANCE FINANCIAL GROUP BHD,
KUOK KHOON EAN,IHH HEALTHCARE BHD,0.003
KUOK OON KWONG,SHANGRI LA HOTELS M BHD,
KWEK LENG HAI,HONG LEONG BANK BHD,
KWEK LENG SAN,HONG LEONG BANK BHD,
KWOK KIAN HAI,KUALA LUMPUR KEPONG BHD,
LAI WAI KEEN,PUBLIC BANK BHD,
LAI WAN,PUBLIC BANK BHD,
LAI YEW HOCK DOMINIC,SARAWAK OIL PALMS BHD,
LARRY GAN NYAP LIOU,AMMB HOLDINGS BHD,
LAU YIN PIN,YTL POWER INTERNATIONAL BHD,0.0006
LAWRENCE LIM SWEE LIN,MAGNUM BHD,0.573
LE CHING TAI,IGB REAL ESTATE INVESTMENT TRUST,
LEE AH BOON,ALLIANCE FINANCIAL GROUP BHD,
LEE CHENG LEANG,IOI CORPORATION BHD,
LEE CHOO HECK,KOSSAN RUBBER INDUSTRIES BHD,
LEE HAU HIAN,BATU KAWAN BHD,0.15
LEE HAU HIAN,KUALA LUMPUR KEPONG BHD,
LEE HWEE LENG,KECK SENG M BHD,0.02
LEE KIM MEOW,TOP GLOVE CORPORATION BHD,0.07
LEE KONG LAM,PUBLIC BANK BHD,0.01
LEE KONG YIP,FRASER AND NEAVE HOLDINGS BHD,
LEE LAM THYE,MEDIA PRIMA BHD,
LEE LAM THYE,EPF,
LEE OI HIAN,BATU KAWAN BHD,0.21
